trajectory_id,independent_parent_id,potential,undercooling_temperature_K,melt_temperature_K,protocol,history_dtype,history_time_range_ps,melt_precision,melt_time_ps,melt_exists,historical_role,previous_model_selection_exposure,eligible_split,path,melt_sha256,validation_sha256,melt_input_sha256,pilot_split
860,independent_melt_511618678,Lee2003 Al 2NN-MEAM,520.0,1325.0,300 ps independently seeded full-box melt,float16,0..600,9 significant decimal digits from integration state; not float16 recovery,300.0,True,train,historical trajectory/representation studies; not a new final test,pilot_candidate,/store/PERSO/vmorozov/simulations/al_520K_remaining24_20260913T204114Z/runs/source_033_T520_optimization_melt511618678_velocity185894899,cc80bc4e8e5c15b14303cce2e3dcd0e5ff1efa36f50b24c9ecac5b9a178d7063,80f3fcbb8af6da7335a8e30db0ff42d47d589334c3d8a872132cf57aebd433fe,b992569748ab5afbe640884c5bfe1b4cc74f1470af6acbd5bd7ffc8c78f19055,development
861,independent_melt_455949696,Lee2003 Al 2NN-MEAM,520.0,1325.0,300 ps independently seeded full-box melt,float16,0..600,9 significant decimal digits from integration state; not float16 recovery,300.0,True,train,historical trajectory/representation studies; not a new final test,pilot_candidate,/store/PERSO/vmorozov/simulations/al_520K_remaining24_20260913T204114Z/runs/source_034_T520_optimization_melt455949696_velocity516257445,7d810b318fcb72b5e260bfb8c649394f093c3fc150cd51cbbac533d5300a19d3,e1c9e9acac450c1774b3dbb79437d3bfe91be06570f476ab182f28cc0c665752,8ff808c04b2b87dfc623ec46bc7233195fb99c18ff52df9f0d5845a80129f3c9,train
862,independent_melt_691988874,Lee2003 Al 2NN-MEAM,520.0,1325.0,300 ps independently seeded full-box melt,float16,0..600,9 significant decimal digits from integration state; not float16 recovery,300.0,True,train,historical trajectory/representation studies; not a new final test,pilot_candidate,/store/PERSO/vmorozov/simulations/al_520K_remaining24_20260913T204114Z/runs/source_035_T520_optimization_melt691988874_velocity140564254,a9d8db893216b828b780554ccef18d5c81c90dd2ffb084cb0f5639c7c9150016,85b014d68391a4fd154a9e642224e1d9cb71d3fcad88e14e720274042092438d,37413b8c6f78d6d6dd9ff9bcdc34df02a224d7018d6810ac35bd47b964cbbdc5,train
863,independent_melt_804308644,Lee2003 Al 2NN-MEAM,520.0,1325.0,300 ps independently seeded full-box melt,float16,0..600,9 significant decimal digits from integration state; not float16 recovery,300.0,True,train,historical trajectory/representation studies; not a new final test,pilot_candidate,/store/PERSO/vmorozov/simulations/al_520K_remaining24_20260913T204114Z/runs/source_036_T520_optimization_melt804308644_velocity743188960,48f97ded4b5fff28bb2b9868d72bdcb5b15bbf86dd65909d6233109b37ff6865,d2f0e66695df1f1f07d6048212d158ecc99135c29f3a9c7656b733ef9d16d9d1,7ca1ea942ecbc72401040db19a156eb80ee05625dcccf314418ee0cb79fadc95,train
864,independent_melt_808961974,Lee2003 Al 2NN-MEAM,520.0,1325.0,300 ps independently seeded full-box melt,float16,0..600,9 significant decimal digits from integration state; not float16 recovery,300.0,True,train,historical trajectory/representation studies; not a new final test,pilot_candidate,/store/PERSO/vmorozov/simulations/al_520K_remaining24_20260913T204114Z/runs/source_037_T520_optimization_melt808961974_velocity893624603,9195e554474549192de26c7fef7d9006f0e7c1354dbd21d93ea01d11d5be50b2,43d9413169ee880d1c930f0cc4ba1e06225f457e02818e441ee1653ed861973b,a401b693804692682bfc55f3c5fd9676796be4258317d56e3fbd71389ae0b808,train
865,independent_melt_434160560,Lee2003 Al 2NN-MEAM,520.0,1325.0,300 ps independently seeded full-box melt,float16,0..600,9 significant decimal digits from integration state; not float16 recovery,300.0,True,train,historical trajectory/representation studies; not a new final test,pilot_candidate,/store/PERSO/vmorozov/simulations/al_520K_remaining24_20260913T204114Z/runs/source_038_T520_optimization_melt434160560_velocity305336505,cf9c8d8378162e20688458a0a7862936db32eaf1e0178c91e807dd4d4c7536c9,cbbe83c47587e79dc3ca610886c47d3a45d821bb381d8fa9941472ebd5ca3201,de074f98d2eab2f419e9f721bf06b61852dc6a832f262e1cce3c8ce43b07b960,train
866,independent_melt_200290231,Lee2003 Al 2NN-MEAM,520.0,1325.0,300 ps independently seeded full-box melt,float16,0..600,9 significant decimal digits from integration state; not float16 recovery,300.0,True,train,historical trajectory/representation studies; not a new final test,pilot_candidate,/store/PERSO/vmorozov/simulations/al_520K_remaining24_20260913T204114Z/runs/source_039_T520_optimization_melt200290231_velocity240372582,f515dbf1c04e3a411243dfa36fe6cd0cb5fe95fb93edd85701d4fedd30dc04c6,af37ea39611279d2dbef8ad88a86f10892d59dbb1b4156b528c89a71b7c4093f,908e2977d80d9f4ab39e1126873e1a2acb8310a8d1c8382a0ca0fb71671f8b89,development
867,independent_melt_144370470,Lee2003 Al 2NN-MEAM,520.0,1325.0,300 ps independently seeded full-box melt,float16,0..600,9 significant decimal digits from integration state; not float16 recovery,300.0,True,train,historical trajectory/representation studies; not a new final test,pilot_candidate,/store/PERSO/vmorozov/simulations/al_520K_remaining24_20260913T204114Z/runs/source_040_T520_optimization_melt144370470_velocity263207168,0bf71109e51175a5e2f087cb62f5cd5385bde6093de914db9e6c381004bf72c4,4de9cec3dec50a636cb8106f036cf0fc6f44108ecd2c723343879331287fd5e9,2267597b646a7a5531c9ad9bbdea91881f7dc08a8bd6de7a83fdbd5db95272ee,train
868,independent_melt_76681035,Lee2003 Al 2NN-MEAM,520.0,1325.0,300 ps independently seeded full-box melt,float16,0..600,9 significant decimal digits from integration state; not float16 recovery,300.0,True,train,historical trajectory/representation studies; not a new final test,pilot_candidate,/store/PERSO/vmorozov/simulations/al_520K_remaining24_20260913T204114Z/runs/source_041_T520_optimization_melt76681035_velocity510019800,dabee78d65322399400d0f09cbeab87fba4583c38e1a583fa0e25e424c0e0c5c,809ef1c9afb47c01500258d53d07ccb64412e6026abb8dd6093d89c90fa66ee8,2ca2b30421bd0374375ff3269cfe9134f9de74ec7acf9f8719f0075b7806a87e,development
869,independent_melt_77880009,Lee2003 Al 2NN-MEAM,520.0,1325.0,300 ps independently seeded full-box melt,float16,0..600,9 significant decimal digits from integration state; not float16 recovery,300.0,True,train,historical trajectory/representation studies; not a new final test,pilot_candidate,/store/PERSO/vmorozov/simulations/al_520K_remaining24_20260913T204114Z/runs/source_042_T520_optimization_melt77880009_velocity38939262,399c5e6a83d236f9ad5a66812b748e49a7dc1134374f1dbf85ccdf3db4c4e034,94b3827b10e93d41a380d4f6cad75110fbfe609ae45d34f2b6575780f49f55ab,325ecbdb1afa3536099351a59f1b9673e400fceacb592f1b0472b91cca65516e,train
